disease_id,icd9cm,name
34,008.8,"INTESTINAL INFECTION DUE TO OTHER ORGANISM, NOT ELSEWHERE CLASSIFIED"
35,009.0,"INFECTIOUS COLITIS, ENTERITIS, AND GASTROENTERITIS"
36,009.1,"COLITIS, ENTERITIS, AND GASTROENTERITIS OF PRESUMED INFECTIOUS ORIGIN"
37,009.2,INFECTIOUS DIARRHEA
38,009.3,DIARRHEA OF PRESUMED INFECTIOUS ORIGIN
39,010.90,"PRIMARY TUBERCULOUS INFECTION, UNSPECIFIED, UNSPECIFIED"
40,011.00,"TUBERCULOSIS OF LUNG, INFILTRATIVE, UNSPECIFIED"
41,011.20,"TUBERCULOSIS OF LUNG WITH CAVITATION, UNSPECIFIED"
42,011.23,"TUBERCULOSIS OF LUNG WITH CAVITATION, TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY"
43,011.40,"TUBERCULOUS FIBROSIS OF LUNG, UNSPECIFIED"
44,011.80,"OTHER SPECIFIED PULMONARY TUBERCULOSIS, UNSPECIFIED"
46,011.90,"PULMONARY TUBERCULOSIS, UNSPECIFIED, UNSPECIFIED"
47,011.93,"PULMONARY TUBERCULOSIS, UNSPECIFIED, TUBERCLE BACILLI FOUND (IN SPUTUM) BY MICROSCOPY"
48,012.00,"TUBERCULOUS PLEURISY, UNSPECIFIED"
49,012.10,"TUBERCULOSIS OF INTRATHORACIC LYMPH NODES, UNSPECIFIED"
50,013.00,"TUBERCULOUS MENINGITIS, UNSPECIFIED"
51,014.00,"TUBERCULOUS PERITONITIS, UNSPECIFIED"
52,014.80,"OTHER TUBERCULOSIS OF INTESTINES, PERITONEUM, AND MESENTERIC GLANDS, UNSPECIFIED"
53,015.00,"TUBERCULOSIS OF VERTEBRAL COLUMN, UNSPECIFIED"
54,015.10,"TUBERCULOSIS OF HIP, UNSPECIFIED"
56,015.90,"TUBERCULOSIS OF UNSPECIFIED BONES AND JOINTS, UNSPECIFIED"
57,016.00,"TUBERCULOSIS OF KIDNEY, UNSPECIFIED"
58,016.90,"GENITOURINARY TUBERCULOSIS, UNSPECIFIED, UNSPECIFIED"
59,017.00,"TUBERCULOSIS OF SKIN AND SUBCUTANEOUS CELLULAR TISSUE, UNSPECIFIED"
60,017.10,"ERYTHEMA NODOSUM WITH HYPERSENSITIVITY REACTION IN TUBERCULOSIS, UNSPECIFIED"
61,017.20,"TUBERCULOSIS OF PERIPHERAL LYMPH NODES, UNSPECIFIED"
62,017.22,"TUBERCULOSIS OF PERIPHERAL LYMPH NODES, BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION UNKNOWN (AT PRESENT)"
63,017.30,"TUBERCULOSIS OF EYE, UNSPECIFIED"
64,017.90,"TUBERCULOSIS OF OTHER SPECIFIED ORGANS, UNSPECIFIED"
65,018.90,"MILIARY TUBERCULOSIS, UNSPECIFIED, UNSPECIFIED"
66,020.9,"PLAGUE, UNSPECIFIED"
67,021.9,UNSPECIFIED TULAREMIA
68,023.9,"BRUCELLOSIS, UNSPECIFIED"
69,026.1,STREPTOBACILLARY FEVER
70,027.0,LISTERIOSIS
71,027.2,PASTEURELLOSIS
72,027.9,UNSPECIFIED ZOONOTIC BACTERIAL DISEASE
73,030.0,LEPROMATOUS LEPROSY [TYPE L]
74,030.1,TUBERCULOID LEPROSY [TYPE T]
75,030.9,"LEPROSY, UNSPECIFIED"
76,031.0,PULMONARY DISEASES DUE TO OTHER MYCOBACTERIA
77,031.1,CUTANEOUS DISEASES DUE TO OTHER MYCOBACTERIA
78,031.2,DISSEMINATED DUE TO OTHER MYCOBACTERIA
79,031.8,OTHER SPECIFIED MYCOBACTERIAL DISEASES
80,031.9,UNSPECIFIED DISEASES DUE TO MYCOBACTERIA
81,033.0,WHOOPING COUGH DUE TO BORDETELLA PERTUSSIS [B. PERTUSSIS]
82,033.1,WHOOPING COUGH DUE TO BORDETELLA PARAPERTUSSIS [B. PARAPERTUSSIS]
83,033.9,"WHOOPING COUGH, UNSPECIFIED ORGANISM"
84,034.0,STREPTOCOCCAL SORE THROAT
85,034.1,SCARLET FEVER
86,035,ERYSIPELAS
87,036.0,MENINGOCOCCAL MENINGITIS
88,036.2,MENINGOCOCCEMIA
89,036.3,"WATERHOUSE-FRIDERICHSEN SYNDROME, MENINGOCOCCAL"
90,036.81,MENINGOCOCCAL OPTIC NEURITIS
91,036.89,OTHER SPECIFIED MENINGOCOCCAL INFECTIONS
92,036.9,"MENINGOCOCCAL INFECTION, UNSPECIFIED"
93,037,TETANUS
94,038.0,STREPTOCOCCAL SEPTICEMIA
95,038.10,"STAPHYLOCOCCAL SEPTICEMIA, UNSPECIFIED"
96,038.11,METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS SEPTICEMIA
97,038.12,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS SEPTICEMIA
98,038.19,OTHER STAPHYLOCOCCAL SEPTICEMIA
99,038.2,PNEUMOCOCCAL SEPTICEMIA [STREPTOCOCCUS PNEUMONIAE SEPTICEMIA]
100,038.3,SEPTICEMIA DUE TO ANAEROBES
101,038.40,"SEPTICEMIA DUE TO GRAM-NEGATIVE ORGANISM, UNSPECIFIED"
102,038.41,SEPTICEMIA DUE TO HEMOPHILUS INFLUENZAE [H. INFLUENZAE]
103,038.42,SEPTICEMIA DUE TO ESCHERICHIA COLI [E. COLI]
104,038.43,SEPTICEMIA DUE TO PSEUDOMONAS
105,038.44,SEPTICEMIA DUE TO SERRATIA
106,038.49,OTHER SEPTICEMIA DUE TO GRAM-NEGATIVE ORGANISMS
107,038.8,OTHER SPECIFIED SEPTICEMIAS
108,038.9,UNSPECIFIED SEPTICEMIA
109,039.0,CUTANEOUS ACTINOMYCOTIC INFECTION
110,039.1,PULMONARY ACTINOMYCOTIC INFECTION
111,039.3,CERVICOFACIAL ACTINOMYCOTIC INFECTION
112,039.8,ACTINOMYCOTIC INFECTION OF OTHER SPECIFIED SITES
113,039.9,ACTINOMYCOTIC INFECTION OF UNSPECIFIED SITE
114,040.0,GAS GANGRENE
115,040.1,RHINOSCLEROMA
116,040.2,WHIPPLE'S DISEASE
117,040.82,TOXIC SHOCK SYNDROME
118,040.89,OTHER SPECIFIED BACTERIAL DISEASES
119,041.00,"STREPTOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, STREPTOCOCCUS, UNSPECIFIED"
120,041.01,"STREPTOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, STREPTOCOCCUS, GROUP A"
121,041.02,"STREPTOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, STREPTOCOCCUS, GROUP B"
122,041.03,"STREPTOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, STREPTOCOCCUS, GROUP C"
123,041.04,"STREPTOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, STREPTOCOCCUS, GROUP D [ENTEROCOCCUS]"
124,041.05,"STREPTOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, STREPTOCOCCUS, GROUP G"
125,041.09,"STREPTOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, OTHER STREPTOCOCCUS"
126,041.10,"STAPHYLOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, STAPHYLOCOCCUS, UNSPECIFIED"
127,041.11,METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
128,041.12,METHICILLIN RESISTANT STAPHYLOCOCCUS AUREUS IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
129,041.19,"STAPHYLOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, OTHER STAPHYLOCOCCUS"
130,041.2,PNEUMOCOCCUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
131,041.3,FRIEDL�NDER'S BACILLUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
132,041.5,HEMOPHILUS INFLUENZAE [H. INFLUENZAE] INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
133,041.6,PROTEUS (MIRABILIS) (MORGANII) INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
134,041.7,PSEUDOMONAS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
135,041.81,"OTHER SPECIFIED BACTERIAL INFECTIONS IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, MYCOPLASMA"
136,041.82,BACTEROIDES FRAGILIS
137,041.83,"OTHER SPECIFIED BACTERIAL INFECTIONS IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, CLOSTRIDIUM PERFRINGENS"
138,041.84,"OTHER SPECIFIED BACTERIAL INFECTIONS IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, OTHER ANAEROBES"
139,041.85,"OTHER SPECIFIED BACTERIAL INFECTIONS IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, OTHER GRAM-NEGATIVE ORGANISMS"
140,041.86,HELICOBACTER PYLORI [H. PYLORI]
141,041.89,"OTHER SPECIFIED BACTERIAL INFECTIONS IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE, OTHER SPECIFIED BACTERIA"
142,041.9,"BACTERIAL INFECTION, UNSPECIFIED, IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE"
143,042,HUMAN IMMUNODEFICIENCY VIRUS [HIV] DISEASE
144,045.90,"ACUTE POLIOMYELITIS, UNSPECIFIED, POLIOVIRUS, UNSPECIFIED TYPE"
145,046.3,PROGRESSIVE MULTIFOCAL LEUKOENCEPHALOPATHY
146,047.0,MENINGITIS DUE TO COXSACKIE VIRUS
147,047.8,OTHER SPECIFIED VIRAL MENINGITIS
148,047.9,UNSPECIFIED VIRAL MENINGITIS
149,048,OTHER ENTEROVIRUS DISEASES OF CENTRAL NERVOUS SYSTEM
150,049.0,LYMPHOCYTIC CHORIOMENINGITIS
151,049.8,OTHER SPECIFIED NON-ARTHROPOD-BORNE VIRAL DISEASES OF CENTRAL NERVOUS SYSTEM
152,049.9,UNSPECIFIED NON-ARTHROPOD-BORNE VIRAL DISEASES OF CENTRAL NERVOUS SYSTEM
153,051.2,CONTAGIOUS PUSTULAR DERMATITIS
154,052.0,POSTVARICELLA ENCEPHALITIS
155,052.1,VARICELLA (HEMORRHAGIC) PNEUMONITIS
156,052.7,CHICKENPOX WITH OTHER SPECIFIED COMPLICATIONS
157,052.8,CHICKENPOX WITH UNSPECIFIED COMPLICATION
158,052.9,VARICELLA WITHOUT MENTION OF COMPLICATION
159,053.0,HERPES ZOSTER WITH MENINGITIS
160,053.10,HERPES ZOSTER WITH UNSPECIFIED NERVOUS SYSTEM COMPLICATION
161,053.11,GENICULATE HERPES ZOSTER
162,053.12,POSTHERPETIC TRIGEMINAL NEURALGIA
163,053.13,POSTHERPETIC POLYNEUROPATHY
164,053.19,HERPES ZOSTER WITH OTHER NERVOUS SYSTEM COMPLICATIONS
165,053.20,HERPES ZOSTER DERMATITIS OF EYELID
166,053.21,HERPES ZOSTER KERATOCONJUNCTIVITIS
167,053.22,HERPES ZOSTER IRIDOCYCLITIS
168,053.29,HERPES ZOSTER WITH OTHER OPHTHALMIC COMPLICATIONS
169,053.71,OTITIS EXTERNA DUE TO HERPES ZOSTER
170,053.79,HERPES ZOSTER WITH OTHER SPECIFIED COMPLICATIONS
171,053.8,HERPES ZOSTER WITH UNSPECIFIED COMPLICATION
172,053.9,HERPES ZOSTER WITHOUT MENTION OF COMPLICATION
173,054.0,ECZEMA HERPETICUM
174,054.10,"GENITAL HERPES, UNSPECIFIED"
175,054.11,HERPETIC VULVOVAGINITIS
176,054.12,HERPETIC ULCERATION OF VULVA
177,054.13,HERPETIC INFECTION OF PENIS
178,054.19,OTHER GENITAL HERPES
179,054.2,HERPETIC GINGIVOSTOMATITIS
180,054.3,HERPETIC MENINGOENCEPHALITIS
181,054.40,HERPES SIMPLEX WITH UNSPECIFIED OPHTHALMIC COMPLICATION
182,054.41,HERPES SIMPLEX DERMATITIS OF EYELID
183,054.42,DENDRITIC KERATITIS
184,054.43,HERPES SIMPLEX DISCIFORM KERATITIS
185,054.44,HERPES SIMPLEX IRIDOCYCLITIS
186,054.49,HERPES SIMPLEX WITH OTHER OPHTHALMIC COMPLICATIONS
187,054.5,HERPETIC SEPTICEMIA
188,054.6,HERPETIC WHITLOW
189,054.72,HERPES SIMPLEX MENINGITIS
190,054.73,HERPES SIMPLEX OTITIS EXTERNA
191,054.79,HERPES SIMPLEX WITH OTHER SPECIFIED COMPLICATIONS
192,054.8,HERPES SIMPLEX WITH UNSPECIFIED COMPLICATION
193,054.9,HERPES SIMPLEX WITHOUT MENTION OF COMPLICATION
194,055.9,MEASLES WITHOUT MENTION OF COMPLICATION
195,056.9,RUBELLA WITHOUT MENTION OF COMPLICATION
196,057.0,ERYTHEMA INFECTIOSUM (FIFTH DISEASE)
197,057.8,OTHER SPECIFIED VIRAL EXANTHEMATA
198,057.9,"VIRAL EXANTHEM, UNSPECIFIED"
199,061,DENGUE
200,066.1,TICK-BORNE FEVER
201,070.1,VIRAL HEPATITIS A WITHOUT MENTION OF HEPATIC COMA
202,070.20,"VIRAL HEPATITIS B WITH HEPATIC COMA, ACUTE OR UNSPECIFIED, WITHOUT MENTION OF HEPATITIS DELTA"
203,070.22,CHRONIC VIRAL HEPATITIS B WITH HEPATIC COMA WITHOUT HEPATITIS DELTA
204,070.30,"VIRAL HEPATITIS B WITHOUT MENTION OF HEPATIC COMA, ACUTE OR UNSPECIFIED, WITHOUT MENTION OF HEPATITIS DELTA"
205,070.31,"VIRAL HEPATITIS B WITHOUT MENTION OF HEPATIC COMA, ACUTE OR UNSPECIFIED, WITH HEPATITIS DELTA"
206,070.32,CHRONIC VIRAL HEPATITIS B WITHOUT MENTION OF HEPATIC COMA WITHOUT MENTION OF HEPATITIS DELTA
207,070.41,ACUTE HEPATITIS C WITH HEPATIC COMA
208,070.44,CHRONIC HEPATITIS C WITH HEPATIC COMA
209,070.51,ACUTE HEPATITIS C WITHOUT MENTION OF HEPATIC COMA
210,070.52,HEPATITIS DELTA WITHOUT MENTION OF ACTIVE HEPATITIS B DISEASE OR HEPATIC COMA
211,070.53,HEPATITIS E WITHOUT MENTION OF HEPATIC COMA
212,070.54,CHRONIC HEPATITIS C WITHOUT MENTION OF HEPATIC COMA
213,070.59,OTHER SPECIFIED VIRAL HEPATITIS WITHOUT MENTION OF HEPATIC COMA
214,070.70,UNSPECIFIED VIRAL HEPATITIS C WITHOUT HEPATIC COMA
215,070.71,UNSPECIFIED VIRAL HEPATITIS C WITH HEPATIC COMA
216,070.9,UNSPECIFIED VIRAL HEPATITIS WITHOUT MENTION OF HEPATIC COMA
217,072.9,MUMPS WITHOUT MENTION OF COMPLICATION
218,074.0,HERPANGINA
219,074.1,EPIDEMIC PLEURODYNIA
220,074.23,COXSACKIE MYOCARDITIS
221,074.3,"HAND, FOOT, AND MOUTH DISEASE"
222,074.8,OTHER SPECIFIED DISEASES DUE TO COXSACKIE VIRUS
223,075,INFECTIOUS MONONUCLEOSIS
224,076.1,"TRACHOMA, ACTIVE STAGE"
225,076.9,"TRACHOMA, UNSPECIFIED"
226,077.1,EPIDEMIC KERATOCONJUNCTIVITIS
227,077.3,OTHER ADENOVIRAL CONJUNCTIVITIS
228,077.4,EPIDEMIC HEMORRHAGIC CONJUNCTIVITIS
229,077.8,OTHER VIRAL CONJUNCTIVITIS
230,077.99,UNSPECIFIED DISEASES OF CONJUNCTIVA DUE TO VIRUSES
231,078.0,MOLLUSCUM CONTAGIOSUM
232,078.10,"VIRAL WARTS, UNSPECIFIED"
233,078.11,CONDYLOMA ACUMINATUM
234,078.12,PLANTAR WART
235,078.19,OTHER SPECIFIED VIRAL WARTS
236,078.2,SWEATING FEVER
237,078.3,CAT-SCRATCH DISEASE
238,078.4,FOOT AND MOUTH DISEASE
239,078.5,CYTOMEGALOVIRAL DISEASE
240,078.88,OTHER SPECIFIED DISEASES DUE TO CHLAMYDIAE
241,078.89,OTHER SPECIFIED DISEASES DUE TO VIRUSES
242,079.0,ADENOVIRUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
243,079.1,ECHO VIRUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
244,079.2,COXSACKIE VIRUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
245,079.3,RHINOVIRUS INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
246,079.4,HUMAN PAPILLOMAVIRUS IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE
247,079.51,"HUMAN T-CELL LYMPHOTROPHIC VIRUS, TYPE I [HTLV-I]"
248,079.53,"HUMAN IMMUNODEFICIENCY VIRUS, TYPE 2 [HIV-2]"
249,079.6,RESPIRATORY SYNCYTIAL VIRUS (RSV)
250,079.83,PARVOVIRUS B19
251,079.88,OTHER SPECIFIED CHLAMYDIAL INFECTION
252,079.89,OTHER SPECIFIED VIRAL INFECTION
253,079.98,UNSPECIFIED CHLAMYDIAL INFECTION
254,079.99,UNSPECIFIED VIRAL INFECTION
255,082.0,SPOTTED FEVERS
256,082.40,"EHRLICHIOSIS, UNSPECIFIED"
257,083.0,Q FEVER
258,084.0,FALCIPARUM MALARIA [MALIGNANT TERTIAN]
259,084.1,VIVAX MALARIA [BENIGN TERTIAN]
260,084.6,"MALARIA, UNSPECIFIED"
261,085.2,"CUTANEOUS LEISHMANIASIS, ASIAN DESERT"
262,085.9,"LEISHMANIASIS, UNSPECIFIED"
263,086.4,RHODESIAN TRYPANOSOMIASIS
264,087.9,"RELAPSING FEVER, UNSPECIFIED"
265,088.0,BARTONELLOSIS
266,088.81,LYME DISEASE
267,090.0,"EARLY CONGENITAL SYPHILIS, SYMPTOMATIC"
268,090.3,SYPHILITIC INTERSTITIAL KERATITIS
269,090.40,"JUVENILE NEUROSYPHILIS, UNSPECIFIED"
270,090.49,OTHER JUVENILE NEUROSYPHILIS
271,090.5,"OTHER LATE CONGENITAL SYPHILIS, SYMPTOMATIC"
272,090.9,"CONGENITAL SYPHILIS, UNSPECIFIED"
273,091.0,GENITAL SYPHILIS (PRIMARY)
274,091.3,SECONDARY SYPHILIS OF SKIN OR MUCOUS MEMBRANES
275,091.9,UNSPECIFIED SECONDARY SYPHILIS
276,094.0,TABES DORSALIS
277,094.1,GENERAL PARESIS
278,094.89,OTHER SPECIFIED NEUROSYPHILIS
279,094.9,"NEUROSYPHILIS, UNSPECIFIED"
280,095.8,OTHER SPECIFIED FORMS OF LATE SYMPTOMATIC SYPHILIS
281,096,"LATE SYPHILIS, LATENT"
282,097.0,"LATE SYPHILIS, UNSPECIFIED"
283,097.1,"LATENT SYPHILIS, UNSPECIFIED"
284,097.9,"SYPHILIS, UNSPECIFIED"
285,098.0,GONOCOCCAL INFECTION (ACUTE) OF LOWER GENITOURINARY TRACT
286,098.15,GONOCOCCAL CERVICITIS (ACUTE)
287,098.19,OTHER GONOCOCCAL INFECTION (ACUTE) OF UPPER GENITOURINARY TRACT
288,098.2,"GONOCOCCAL INFECTION, CHRONIC, OF LOWER GENITOURINARY TRACT"
289,098.40,GONOCOCCAL CONJUNCTIVITIS (NEONATORUM)
290,098.50,GONOCOCCAL ARTHRITIS
291,098.86,GONOCOCCAL PERITONITIS
292,098.89,GONOCOCCAL INFECTION OF OTHER SPECIFIED SITES
293,099.0,CHANCROID
294,099.1,LYMPHOGRANULOMA VENEREUM
295,099.2,GRANULOMA INGUINALE
296,099.3,REITER'S DISEASE
297,099.40,"OTHER NONGONOCOCCAL URETHRITIS, UNSPECIFIED"
298,099.41,"OTHER NONGONOCOCCAL URETHRITIS, CHLAMYDIA TRACHOMATIS"
299,099.50,"OTHER VENEREAL DISEASES DUE TO CHLAMYDIA TRACHOMATIS, UNSPECIFIED SITE"
300,099.53,"OTHER VENEREAL DISEASES DUE TO CHLAMYDIA TRACHOMATIS, LOWER GENITOURINARY SITES"
301,099.54,"OTHER VENEREAL DISEASES DUE TO CHLAMYDIA TRACHOMATIS, OTHER GENITOURINARY SITES"
302,099.55,"OTHER VENEREAL DISEASES DUE TO CHLAMYDIA TRACHOMATIS, UNSPECIFIED GENITOURINARY SITE"
303,099.8,OTHER SPECIFIED VENEREAL DISEASES
304,099.9,"VENEREAL DISEASE, UNSPECIFIED"
305,100.9,"LEPTOSPIROSIS, UNSPECIFIED"
306,101,VINCENT'S ANGINA
307,110.0,DERMATOPHYTOSIS OF SCALP AND BEARD
308,110.1,DERMATOPHYTOSIS OF NAIL
309,110.2,DERMATOPHYTOSIS OF HAND
310,110.3,DERMATOPHYTOSIS OF GROIN AND PERIANAL AREA
311,110.4,DERMATOPHYTOSIS OF FOOT
312,110.5,DERMATOPHYTOSIS OF THE BODY
313,110.6,DEEP SEATED DERMATOPHYTOSIS
314,110.8,DERMATOPHYTOSIS OF OTHER SPECIFIED SITES
315,110.9,DERMATOPHYTOSIS OF UNSPECIFIED SITE
316,111.0,PITYRIASIS VERSICOLOR
317,111.1,TINEA NIGRA
318,111.2,TINEA BLANCA
319,111.8,OTHER SPECIFIED DERMATOMYCOSES
320,111.9,"DERMATOMYCOSIS, UNSPECIFIED"
321,112.0,CANDIDIASIS OF MOUTH
322,112.1,CANDIDIASIS OF VULVA AND VAGINA
323,112.2,CANDIDIASIS OF OTHER UROGENITAL SITES
324,112.3,CANDIDIASIS OF SKIN AND NAILS
325,112.4,CANDIDIASIS OF LUNG
326,112.5,DISSEMINATED CANDIDIASIS
327,112.82,CANDIDAL OTITIS EXTERNA
328,112.83,CANDIDAL MENINGITIS
329,112.84,CANDIDAL ESOPHAGITIS
330,112.85,CANDIDAL ENTERITIS
331,112.89,OTHER CANDIDIASIS OF OTHER SPECIFIED SITES
332,112.9,CANDIDIASIS OF UNSPECIFIED SITE
333,114.0,PRIMARY COCCIDIOIDOMYCOSIS (PULMONARY)
334,114.3,OTHER FORMS OF PROGRESSIVE COCCIDIOIDOMYCOSIS
335,114.4,CHRONIC PULMONARY COCCIDIOIDOMYCOSIS
336,114.5,"PULMONARY COCCIDIOIDOMYCOSIS, UNSPECIFIED"
337,114.9,"COCCIDIOIDOMYCOSIS, UNSPECIFIED"
338,115.00,"INFECTION BY HISTOPLASMA CAPSULATUM, WITHOUT MENTION OF MANIFESTATION"
339,115.02,"INFECTION BY HISTOPLASMA CAPSULATUM, RETINITIS"
340,115.05,"INFECTION BY HISTOPLASMA CAPSULATUM, PNEUMONIA"
341,115.09,"INFECTION BY HISTOPLASMA CAPSULATUM, OTHER"
342,115.90,"HISTOPLASMOSIS, UNSPECIFIED, WITHOUT MENTION OF MANIFESTATION"
343,115.92,"HISTOPLASMOSIS, UNSPECIFIED, RETINITIS"
344,115.95,"HISTOPLASMOSIS, UNSPECIFIED, PNEUMONIA"
345,115.99,"HISTOPLASMOSIS, UNSPECIFIED, OTHER"
346,116.0,BLASTOMYCOSIS
347,117.1,SPOROTRICHOSIS
348,117.3,ASPERGILLOSIS
349,117.4,MYCOTIC MYCETOMAS
350,117.5,CRYPTOCOCCOSIS
351,117.7,ZYGOMYCOSIS [PHYCOMYCOSIS OR MUCORMYCOSIS]
352,117.9,OTHER AND UNSPECIFIED MYCOSES
353,118,OPPORTUNISTIC MYCOSES
354,120.0,SCHISTOSOMIASIS DUE TO SCHISTOSOMA HAEMATOBIUM
355,120.1,SCHISTOSOMIASIS DUE TO SCHISTOSOMA MANSONI
356,120.9,"SCHISTOSOMIASIS, UNSPECIFIED"
357,121.1,CLONORCHIASIS
358,122.9,"ECHINOCOCCOSIS, OTHER AND UNSPECIFIED"
359,123.1,CYSTICERCOSIS
360,123.3,"TAENIASIS, UNSPECIFIED"
361,123.9,"CESTODE INFECTION, UNSPECIFIED"
362,124,TRICHINOSIS
363,125.9,UNSPECIFIED FILARIASIS
364,126.9,"ANCYLOSTOMIASIS AND NECATORIASIS, UNSPECIFIED"
365,127.0,ASCARIASIS
366,127.2,STRONGYLOIDIASIS
367,127.4,ENTEROBIASIS
368,127.9,"INTESTINAL HELMINTHIASIS, UNSPECIFIED"
369,128.0,TOXOCARIASIS
370,128.9,"HELMINTH INFECTION, UNSPECIFIED"
371,129,"INTESTINAL PARASITISM, UNSPECIFIED"
372,130.0,MENINGOENCEPHALITIS DUE TO TOXOPLASMOSIS
373,130.1,CONJUNCTIVITIS DUE TO TOXOPLASMOSIS
374,130.2,CHORIORETINITIS DUE TO TOXOPLASMOSIS
375,130.7,TOXOPLASMOSIS OF OTHER SPECIFIED SITES
376,130.8,MULTISYSTEMIC DISSEMINATED TOXOPLASMOSIS
377,130.9,"TOXOPLASMOSIS, UNSPECIFIED"
378,131.00,"UROGENITAL TRICHOMONIASIS, UNSPECIFIED"
379,131.01,TRICHOMONAL VULVOVAGINITIS
380,131.09,OTHER UROGENITAL TRICHOMONIASIS
381,131.9,"TRICHOMONIASIS, UNSPECIFIED"
